candidate_id,rank,score,reasoning
CAND_0098846,15,0.8362,"Strong AI Engineer with 7.6 years of experience, bringing solid background in Hugging Face Transformers, PEFT, QLoRA; has high responsiveness (62%)."
CAND_0011687,16,0.8336,"Strong Senior NLP Engineer with 7.8 years of experience, bringing solid background in TensorFlow, OpenSearch, FAISS; has high responsiveness (89%)."
CAND_0006418,17,0.8327,"Experienced Machine Learning Engineer with 5.7 years in the industry; shows good alignment with Embeddings, TensorFlow, Weaviate and a 60-day notice period."
CAND_0071974,18,0.8285,"Experienced Senior AI Engineer with 7.8 years in the industry; shows good alignment with LoRA, Weaviate, PEFT and a 45-day notice period."
CAND_0037980,19,0.8273,"Well-qualified Senior Applied Scientist based in Kolkata, West Bengal with 9.0 yrs experience; demonstrated competence in LoRA, PyTorch, QLoRA and active profile views."
CAND_0033861,20,0.8264,"Well-qualified Senior NLP Engineer based in Vizag, Andhra Pradesh with 8.0 yrs experience; demonstrated competence in Weaviate, LoRA, LLMs and active profile views."
CAND_0068811,21,0.8258,"Well-qualified Applied ML Engineer based in Pune, Maharashtra with 8.0 yrs experience; demonstrated competence in Qdrant, scikit-learn, TensorFlow and active profile views."
CAND_0008239,22,0.8255,"Experienced AI Engineer with 4.0 years in the industry; shows good alignment with Milvus, Elasticsearch, Weaviate but experience is slightly junior (4.0 yrs) and a 15-day notice period."
CAND_0068351,23,0.8244,"Strong Lead AI Engineer with 6.4 years of experience, bringing solid background in Qdrant, Elasticsearch, PEFT; has high responsiveness (86%)."
CAND_0006557,24,0.8222,"Strong NLP Engineer with 7.9 years of experience, bringing solid background in Elasticsearch, OpenSearch, Weaviate but long notice period (120 days); has high responsiveness (63%)."
CAND_0062247,25,0.8199,"Well-qualified AI Engineer based in Kochi, Kerala with 7.3 yrs experience; demonstrated competence in Pinecone, Qdrant, PEFT and active profile views."
CAND_0058688,26,0.8183,"Strong AI Engineer with 6.7 years of experience, bringing solid background in scikit-learn, Embeddings, TensorFlow; has high responsiveness (74%)."
CAND_0055905,27,0.8169,"Well-qualified Senior Machine Learning Engineer based in London with 8.1 yrs experience; demonstrated competence in Elasticsearch, Hugging Face Transformers, Python and active profile views."
CAND_0042506,28,0.8155,"Strong Search Engineer with 4.2 years of experience, bringing solid background in PEFT, scikit-learn, Fine-tuning LLMs but experience is slightly junior (4.2 yrs); has high responsiveness (48%)."
CAND_0044855,29,0.8134,"Strong Senior Data Scientist with 6.6 years of experience, bringing solid background in Hugging Face Transformers, OpenSearch, Information Retrieval; has high responsiveness (56%)."
CAND_0009837,30,0.8126,"Well-qualified Senior Data Scientist based in Noida, Uttar Pradesh with 4.3 yrs experience; demonstrated competence in scikit-learn, TensorFlow, PyTorch and active profile views."
CAND_0039383,31,0.8122,"Strong Applied ML Engineer with 7.1 years of experience, bringing solid background in FAISS, Recommendation Systems, Hugging Face Transformers but long notice period (90 days); has high responsiveness (61%)."
CAND_0052682,32,0.8097,"Strong NLP Engineer with 6.6 years of experience, bringing solid background in QLoRA, FAISS, PyTorch; has high responsiveness (88%)."
CAND_0072660,33,0.8092,"Well-qualified Machine Learning Engineer based in Berlin with 7.1 yrs experience; demonstrated competence in LoRA, PyTorch, Information Retrieval and active profile views."
CAND_0088025,34,0.8073,"Strong Staff Machine Learning Engineer with 8.6 years of experience, bringing solid background in Pinecone, QLoRA, LLMs but long notice period (90 days); has high responsiveness (83%)."
CAND_0030468,35,0.8064,"Well-qualified Senior Applied Scientist based in Indore, Madhya Pradesh with 5.4 yrs experience; demonstrated competence in Information Retrieval Systems, TensorFlow, OpenSearch and active profile views."
CAND_0046064,36,0.8054,"Strong Senior NLP Engineer with 8.9 years of experience, bringing solid background in Python, Pinecone, OpenSearch; has high responsiveness (78%)."
CAND_0000031,37,0.8037,"Experienced Recommendation Systems Engineer with 6.0 years in the industry; shows good alignment with FAISS, Pinecone, Embeddings and a 60-day notice period."
CAND_0099806,38,0.8021,"Strong AI Engineer with 4.6 years of experience, bringing solid background in LoRA, FAISS, Embeddings but experience is slightly junior (4.6 yrs); has high responsiveness (76%)."
CAND_0008425,39,0.8018,"Experienced Senior NLP Engineer with 7.8 years in the industry; shows good alignment with Qdrant, TensorFlow, Python but long notice period (90 days) and a 90-day notice period."
CAND_0060072,40,0.8008,"Well-qualified Staff Machine Learning Engineer based in Indore, Madhya Pradesh with 5.7 yrs experience; demonstrated competence in PyTorch, Milvus, Fine-tuning LLMs and active profile views."
CAND_0061265,41,0.7987,"Strong Recommendation Systems Engineer with 6.6 years of experience, bringing solid background in Qdrant, Hugging Face Transformers, QLoRA but long notice period (120 days); has high responsiveness (94%)."
CAND_0064904,42,0.7958,"Strong AI Engineer with 4.9 years of experience, bringing solid background in Embeddings, Hugging Face Transformers, Elasticsearch but experience is slightly junior (4.9 yrs) and long notice period (90 days); has high responsiveness (78%)."
CAND_0010257,43,0.7945,"Well-qualified Senior Data Scientist based in Noida, Uttar Pradesh with 6.5 yrs experience; demonstrated competence in Milvus, TensorFlow, Python and active profile views."
CAND_0027801,44,0.7943,"Well-qualified NLP Engineer based in Hyderabad, Telangana with 7.4 yrs experience; demonstrated competence in FAISS, Milvus, QLoRA and active profile views."
CAND_0042029,45,0.7941,"Strong Senior Data Scientist with 6.5 years of experience, bringing solid background in PyTorch, Elasticsearch, Embeddings; has high responsiveness (67%)."
CAND_0081686,46,0.7931,"Strong Search Engineer with 6.0 years of experience, bringing solid background in Embeddings, FAISS, Milvus; has high responsiveness (91%)."
CAND_0046525,47,0.7922,"Experienced Senior Machine Learning Engineer with 6.1 years in the industry; shows good alignment with Elasticsearch, Information Retrieval, TensorFlow and a 60-day notice period."
CAND_0050876,48,0.792,"Strong Applied ML Engineer with 6.0 years of experience, bringing solid background in Qdrant, FAISS, scikit-learn but long notice period (90 days); has high responsiveness (67%)."
CAND_0015578,49,0.7911,"Strong AI Engineer with 5.4 years of experience, bringing solid background in Embeddings, Pinecone, scikit-learn but long notice period (90 days); has high responsiveness (65%)."
CAND_0092278,50,0.7906,"Experienced Senior NLP Engineer with 6.8 years in the industry; shows good alignment with TensorFlow, Hugging Face Transformers, QLoRA but long notice period (90 days) and a 90-day notice period."
CAND_0079387,51,0.7888,"AI Engineer with 6.9 years experience; exhibits some skill overlap in scikit-learn, Recommendation Systems, Python but has secondary alignment overall."
CAND_0091909,52,0.7883,"Machine Learning Engineer with 6.9 years experience; exhibits some skill overlap in LLMs, Pinecone, QLoRA but has secondary alignment overall."
CAND_0030031,53,0.7873,"AI Engineer with 5.7 years experience; exhibits some skill overlap in Information Retrieval, PyTorch, Python but has secondary alignment overall."
CAND_0065195,54,0.7869,"Adjacent fit: Search Engineer with 5.1 years experience matching key skills like LLMs, QLoRA, scikit-learn."
CAND_0067866,55,0.7866,"Alternative candidate: Senior Software Engineer (ML) with 6.4 yrs of experience; covers baseline requirements with skills in Embeddings, Elasticsearch, LoRA."
CAND_0005260,56,0.7862,"Senior NLP Engineer with 5.2 years experience; exhibits some skill overlap in Information Retrieval, Python, LoRA but has secondary alignment overall."
CAND_0009024,57,0.7844,"Alternative candidate: Search Engineer with 5.2 yrs of experience; covers baseline requirements with skills in Qdrant, PEFT, FAISS."
CAND_0074225,58,0.7833,"Adjacent fit: Machine Learning Engineer with 4.3 years experience matching key skills like Recommendation Systems, Elasticsearch, Milvus but experience is slightly junior (4.3 yrs) and long notice period (120 days)."
CAND_0006567,59,0.7816,"Alternative candidate: Senior AI Engineer with 7.9 yrs of experience; covers baseline requirements with skills in scikit-learn, Python, Recommendation Systems."
CAND_0059017,60,0.7796,"AI Research Engineer with 6.8 years experience; exhibits some skill overlap in FAISS, TensorFlow, QLoRA but has secondary alignment overall."
CAND_0081053,61,0.7785,"Adjacent fit: NLP Engineer with 5.4 years experience matching key skills like LoRA, QLoRA, Qdrant but long notice period (90 days)."
CAND_0082913,62,0.7782,"Adjacent fit: Senior Software Engineer (ML) with 5.5 years experience matching key skills like FAISS, LoRA, scikit-learn."
CAND_0061257,63,0.7777,"Alternative candidate: Staff Machine Learning Engineer with 8.0 yrs of experience; covers baseline requirements with skills in PEFT, Information Retrieval Systems, Python."
CAND_0043676,64,0.7768,"Adjacent fit: Senior Software Engineer (ML) with 6.1 years experience matching key skills like QLoRA, scikit-learn, PEFT."
CAND_0044890,65,0.7757,"AI Research Engineer with 5.0 years experience; exhibits some skill overlap in FAISS, LLMs, LoRA but has secondary alignment overall."
CAND_0014440,66,0.7754,"Recommendation Systems Engineer with 6.4 years experience; exhibits some skill overlap in Elasticsearch, Milvus, FAISS but has secondary alignment overall."
CAND_0005649,67,0.7747,"Alternative candidate: Senior Data Scientist with 7.4 yrs of experience; covers baseline requirements with skills in TensorFlow, Fine-tuning LLMs, Recommendation Systems but long notice period (90 days)."
CAND_0095528,68,0.7734,"Adjacent fit: Senior Data Scientist with 5.3 years experience matching key skills like OpenSearch, PyTorch, Qdrant."
CAND_0076251,69,0.7707,"Alternative candidate: Search Engineer with 7.6 yrs of experience; covers baseline requirements with skills in Fine-tuning LLMs, Hugging Face Transformers, Weaviate."
CAND_0047721,70,0.7695,"Alternative candidate: Senior Data Scientist with 7.0 yrs of experience; covers baseline requirements with skills in Milvus, Information Retrieval, FAISS but long notice period (90 days)."
CAND_0077285,71,0.7688,"Adjacent fit: Recommendation Systems Engineer with 5.5 years experience matching key skills like LoRA, Pinecone, Embeddings."
CAND_0099401,72,0.7679,"Adjacent fit: NLP Engineer with 7.7 years experience matching key skills like Embeddings, Qdrant, Information Retrieval but long notice period (90 days)."
CAND_0036184,73,0.7678,"Recommendation Systems Engineer with 6.0 years experience; exhibits some skill overlap in QLoRA, FAISS, Hugging Face Transformers but has secondary alignment overall."
CAND_0073314,74,0.7655,"Alternative candidate: Senior Software Engineer (ML) with 5.2 yrs of experience; covers baseline requirements with skills in PEFT, Milvus, Elasticsearch."
CAND_0005311,75,0.7645,"AI Research Engineer with 5.7 years experience; exhibits some skill overlap in LoRA, Qdrant, Fine-tuning LLMs but has secondary alignment overall."
CAND_0041568,76,0.7643,"Alternative candidate: Search Engineer with 5.2 yrs of experience; covers baseline requirements with skills in PEFT, Weaviate, TensorFlow but long notice period (90 days)."
CAND_0044883,77,0.7626,"Alternative candidate: AI Engineer with 6.3 yrs of experience; covers baseline requirements with skills in Embeddings, QLoRA, Fine-tuning LLMs but long notice period (90 days)."
CAND_0037566,78,0.7611,"Alternative candidate: Machine Learning Engineer with 6.9 yrs of experience; covers baseline requirements with skills in Pinecone, LoRA, QLoRA."
CAND_0064326,79,0.7608,"Alternative candidate: Search Engineer with 7.6 yrs of experience; covers baseline requirements with skills in scikit-learn, PyTorch, Milvus."
CAND_0096172,80,0.7587,"NLP Engineer with 5.2 years experience; exhibits some skill overlap in OpenSearch, Elasticsearch, Python but has secondary alignment overall."
CAND_0060054,81,0.7586,"Alternative candidate: AI Engineer with 6.4 yrs of experience; covers baseline requirements with skills in TensorFlow, Weaviate, FAISS."
CAND_0042100,82,0.7571,"Machine Learning Engineer with 7.3 years experience; exhibits some skill overlap in Elasticsearch, Recommendation Systems, Fine-tuning LLMs but has secondary alignment overall."
CAND_0089552,83,0.7568,"Adjacent fit: Machine Learning Engineer with 6.0 years experience matching key skills like Weaviate, TensorFlow, Qdrant but long notice period (120 days)."
CAND_0044222,84,0.7553,"Adjacent fit: AI Engineer with 7.7 years experience matching key skills like OpenSearch, Qdrant, Weaviate."
CAND_0087630,85,0.7541,"Alternative candidate: AI Engineer with 7.2 yrs of experience; covers baseline requirements with skills in Elasticsearch, QLoRA, Embeddings."
CAND_0015967,86,0.7534,"Senior Software Engineer (ML) with 5.4 years experience; exhibits some skill overlap in QLoRA, Pinecone, LLMs but has secondary alignment overall."
CAND_0081852,87,0.7526,"Alternative candidate: Senior Data Scientist with 5.9 yrs of experience; covers baseline requirements with skills in Milvus, Weaviate, LoRA."
CAND_0079284,88,0.7525,"Alternative candidate: Machine Learning Engineer with 4.9 yrs of experience; covers baseline requirements with skills in Recommendation Systems, scikit-learn, QLoRA but experience is slightly junior (4.9 yrs)."
CAND_0083307,89,0.7522,"Alternative candidate: Search Engineer with 7.8 yrs of experience; covers baseline requirements with skills in scikit-learn, Embeddings, QLoRA but long notice period (120 days)."
CAND_0078002,90,0.7521,"Adjacent fit: Machine Learning Engineer with 6.3 years experience matching key skills like TensorFlow, scikit-learn, Hugging Face Transformers."
CAND_0005538,91,0.7507,"Alternative candidate: Senior AI Engineer with 5.9 yrs of experience; covers baseline requirements with skills in QLoRA, Python, PyTorch but long notice period (90 days)."
CAND_0083852,92,0.7505,"Adjacent fit: Data Scientist with 6.0 years experience matching key skills like Qdrant, QLoRA, Pinecone but long notice period (90 days)."
CAND_0086151,93,0.7496,"Alternative candidate: Recommendation Systems Engineer with 7.7 yrs of experience; covers baseline requirements with skills in Recommendation Systems, Qdrant, OpenSearch but long notice period (120 days)."
CAND_0007411,94,0.7495,"Senior Machine Learning Engineer with 8.0 years experience; exhibits some skill overlap in OpenSearch, Fine-tuning LLMs, PyTorch but has secondary alignment overall."
CAND_0053695,95,0.7463,"Recommendation Systems Engineer with 5.8 years experience; exhibits some skill overlap in Pinecone, Recommendation Systems, TensorFlow but has secondary alignment overall."
CAND_0079064,96,0.7463,"Adjacent fit: Senior Data Scientist with 5.2 years experience matching key skills like OpenSearch, Fine-tuning LLMs, Pinecone but long notice period (120 days)."
CAND_0093193,97,0.7451,"Senior Machine Learning Engineer with 7.9 years experience; exhibits some skill overlap in Qdrant, OpenSearch, TensorFlow but has secondary alignment overall."
CAND_0098780,98,0.7436,"Adjacent fit: AI Research Engineer with 5.9 years experience matching key skills like Milvus, PEFT, Weaviate."
CAND_0047542,99,0.7432,"Senior Software Engineer (ML) with 5.0 years experience; exhibits some skill overlap in Weaviate, PEFT, Embeddings but has secondary alignment overall."
CAND_0061339,100,0.741,"Search Engineer with 4.2 years experience; exhibits some skill overlap in Information Retrieval, Milvus, TensorFlow but has secondary alignment overall."
